Format,Unit, ,Item ID,MDPI barcode,Title Control Number,Catalog Key,OCLC,Call Sequence,Pub Year,MARC key,Ephemera Removed,Bin Barcodes,Bin Name,Ephemera Returned,Title,Author,Library,Shelving Key,Item Type,Home Location,Current Location,Item Category 2,Cataloging date code,Pagination (300a),Illustrations (300b),Size (300c),Column1,Column2,Column3,notes,pre-prioritization group,Year,Tape base,Preservation problems,Pack deformation,Reel size,Track configuration,Sound field,Item Category 1,speed,Tape thickness,Tape stock brand,number of programs,directions recorded,Variations Record Exists,Group key,Group position,Group total,position_by_shelving_key,,NOTES,
Open Reel Audio Tape,B-AAAMC,TP-S .A292 91-10-25 v. 2,39000018561931,40000001200452,ACA5594BM,203027,25144348,3,1991,220611,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,AIKMAN DEANNA,B-MUSIC,TP-S .A292 91-10-25 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACA5594BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2924 91-12-9 v. 1,39000018342845,40000001200445,ACD2484BM,216509,25275603,2,1991,235633,x,40000000012437,ML-OR-132,,GRADUATE RECITAL COMPOSITION,AIKMAN JAMES SELECTIONS,B-MUSIC,TP-S .A2924 91-12-9 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACD2484BM,1,3,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2924 91-12-9 v. 2,39000018321393,40000001200437,ACD2484BM,216509,25275603,3,1991,235633,x,40000000012437,ML-OR-132,,GRADUATE RECITAL COMPOSITION,AIKMAN JAMES SELECTIONS,B-MUSIC,TP-S .A2924 91-12-9 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACD2484BM,2,3,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A2924 91-12-9 v. 3,39000018315049,40000001200429,ACD2484BM,216509,25275603,4,1991,235633,x,40000000012437,ML-OR-132,,GRADUATE RECITAL COMPOSITION,AIKMAN JAMES SELECTIONS,B-MUSIC,TP-S .A2924 91-12-9 V. 3,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACD2484BM,3,3,3,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 90-11-14 v. 1,30000002966236,40000001200494,AAZ9803BM,87798,23875499,2,1990,93788,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 90-11-14 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAZ9803BM,1,3,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 90-11-14 v. 2,30000002966228,40000001200601,AAZ9803BM,87798,23875499,3,1990,93788,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 90-11-14 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAZ9803BM,2,3,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 90-11-14 v. 3,30000002966210,40000001200593,AAZ9803BM,87798,23875499,4,1990,93788,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 90-11-14 V. 3,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAZ9803BM,3,3,3,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 90-3-29 v. 1,32000007637533,40000001200585,AAW3952BM,68976,22400721,3,1990,73852,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 90-3-29 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAW3952BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 90-3-29 v. 2,32000002949578,40000001200577,AAW3952BM,68976,22400721,2,1990,73852,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 90-3-29 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAW3952BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A3132 91-10-30 v. 1,39000018463641,40000001200668,ACB2734BM,206555,25185064,2,1991,224639,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,AKAHOSHI OLE,B-MUSIC,TP-S .A3132 91-10-30 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACB2734BM,1,2,1,,,
